Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
Albania,9513,284,5214,4015,133,4,75
Algeria,44494,1510,31244,11740,348,9,266
Andorra,1176,53,908,215,52,0,6
Angola,2654,108,1071,1475,30,1,8
Argentina,417735,8660,301195,107880,9309,203,7188
Armenia,43781,879,37722,5180,31,2,72
Australia,25819,657,21348,3814,73,5,234
Austria,27438,733,23226,3479,272,0,156
Azerbaijan,36435,534,33847,2054,126,3,144
Bahamas,2217,50,801,1366,50,0,19
Bahrain,51972,190,49047,2735,398,1,393
Bangladesh,312996,4281,204887,103828,2174,33,2980
Barbados,174,7,146,21,1,0,1
Belarus,71843,681,70468,694,156,5,16
Belgium,85236,9895,18422,56919,194,1,7
Belize,1007,13,173,821,14,0,56
Benin,2145,40,1738,367,0,0,0
Bhutan,225,0,142,83,1,0,2
Bolivia,116598,5027,60408,51163,630,61,1911
Botswana,1633,6,224,1403,0,0,0
Brazil,3908272,121381,3268591,518300,45961,553,30976
Brunei,144,3,139,2,0,0,0
Bulgaria,16266,629,11483,4154,76,16,170
Burma,882,6,354,522,107,0,2
Burundi,445,1,357,87,0,0,0
Cambodia,274,0,266,8,1,0,1
Cameroon,19142,411,17651,1080,0,0,0
Canada,130905,9172,0,121733,1030,9,0
Chad,1013,77,880,56,1,0,2
Chile,411726,11289,383879,16558,1752,45,1295
China,89914,4723,84594,597,19,1,48
Colombia,615094,19662,459460,135972,7190,299,8851
Comoros,423,7,399,17,0,0,0
Costa Rica,41287,436,16056,24795,1588,18,319
Croatia,10269,186,7434,2649,146,2,222
Cuba,4032,94,3378,560,59,0,51
Cyprus,1488,20,1139,329,1,0,204
Czechia,24618,424,17807,6387,251,1,260
Denmark,17410,624,15593,1193,94,0,101
Djibouti,5387,60,5323,4,2,0,4
Dominica,20,0,18,2,0,0,0
Ecuador,113767,6556,101669,5542,119,1,49
Egypt,98939,5421,72929,20589,212,22,809
El Salvador,25729,717,14292,10720,94,4,279
Equatorial Guinea,4941,83,3884,974,0,0,0
Eritrea,319,0,284,35,1,0,0
Estonia,2375,64,2088,223,2,0,0
Eswatini,4577,91,3529,957,16,0,51
Ethiopia,52131,809,18994,32328,1009,16,612
Fiji,28,2,23,3,0,0,0
Finland,8086,336,7200,550,9,1,0
France,318986,30640,86790,201556,3173,29,295
Gabon,8533,53,7264,1216,28,0,77
Gambia,2963,96,1032,1835,0,0,0
Georgia,1487,19,1240,228,18,0,19
Germany,244802,9303,216795,18704,1497,3,1512
Ghana,44298,276,42963,1059,93,0,186
Greece,10317,266,1347,8704,183,4,0
Grenada,24,0,24,0,0,0,0
Guatemala,74074,2760,62068,9246,162,20,387
Guinea,9409,59,8447,903,38,0,60
Guyana,1306,39,718,549,72,3,31
Haiti,8224,201,5828,2195,15,0,0
Holy See,12,0,12,0,0,0,0
Honduras,61014,1873,10396,48745,840,15,154
Hungary,6139,615,3761,1763,178,1,2
Iceland,2107,10,1997,100,2,0,7
India,3691166,65288,2839882,785996,69921,819,65081
Indonesia,174796,7417,125959,41420,2743,74,1774
Iran,375212,21571,323233,30408,1642,109,1812
Iraq,234934,7042,176602,51290,3757,83,3722
Ireland,28811,1777,23364,3670,51,0,0
Israel,116596,939,95009,20648,2576,20,2213
Italy,269214,35483,207653,26078,996,6,-883
